Date,Description,Amount
30/12/2021,ASDA STORES             FELTHAM,13.26
29/12/2021,TESCO STORE 2532 2532TE FELTHAM,1.81
29/12/2021,TESCO STORE 2532 2532TE FELTHAM,16.84
25/12/2021,IZ *GNDJ LIMITED        FELTHAM,5.19
23/12/2021,IZ *LITTLE KATHMANDU    EDGWARE,5.00
23/12/2021,MCDONALDS HIGH HOLBORN  LONDON,3.97
23/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.65
22/12/2021,ASDA STORES             FELTHAM,3.50
20/12/2021,TESCO STORE 2532 2532TE FELTHAM,9.09
19/12/2021,AMAZON.CO.UK*0V4D65Y55  AMAZON.CO.UK,40.00
18/12/2021,ASDA STORES             FELTHAM,16.82
17/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.80
16/12/2021,MCDONALD'S GREENWICH -  LONDON,2.98
16/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.80
15/12/2021,BUDDHA_AIR_PVT_LTD_ECO  11111,18.39
14/12/2021,ASDA STORES             FELTHAM,5.35
13/12/2021,ASDA STORES             FELTHAM,4.48
13/12/2021,ASDA STORES             FELTHAM,11.25
13/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
12/12/2021,PAYMENT RECEIVED - THANK YOU,-108.39
10/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.80
09/12/2021,MCDONALD'S GREENWICH -  LONDON,3.10
09/12/2021,PAYMENT RECEIVED - THANK YOU,-200.00
09/12/2021,TESCO STORE 4911 4911TE GREENWICH,5.50
09/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.35
07/12/2021,ASDA STORES             FELTHAM,33.74
04/12/2021,ASDA STORES             FELTHAM,9.49
04/12/2021,ASDA STORES             FELTHAM,12.90
03/12/2021,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35
02/12/2021,TESCO STORE 6209 6209TE LONDON,5.50
02/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.60
01/12/2021,MCDONALD'S FELTHAM      FELTHAM      ,1.98
01/12/2021,RECHARGE.COM*RECHARGE G AMSTERDAM,5.48
30/11/2021,ASDA STORES             FELTHAM,3.80
30/11/2021,TESCO STORE 2532 2532TE FELTHAM,12.40
29/11/2021,AMZNMKTPLACE            AMAZON.CO.UK,33.48
28/11/2021,HOLLAND & BARRETT FELTH FELTHAM,13.23
28/11/2021,MCDONALD'S FELTHAM      FELTHAM      ,0.99
28/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.40
27/11/2021,ASDA STORES             FELTHAM,4.00
25/11/2021,ASDA STORES             FELTHAM,7.08
25/11/2021,MCDONALD'S GREENWICH -  LONDON,4.17
25/11/2021,PAYMENT RECEIVED - THANK YOU,-100.00
25/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.60
24/11/2021,ASDA STORES             FELTHAM,7.74
24/11/2021,ASDA STORES             FELTHAM,9.50
24/11/2021,J D WETHERSPOON PLC     WATFORD,4.98
23/11/2021,JUUL LABS UK JUUL LABS  UNITED KINGDOM,11.98
22/11/2021,AMAZON.CO.UK*KC5WA4P65  AMAZON.CO.UK,30.99
21/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55
21/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55
20/11/2021,ASDA STORES             FELTHAM,6.74
19/11/2021,ASDA STORES             FELTHAM,5.75
19/11/2021,SPORTS DIRECT           FELTHAM,16.99
18/11/2021,ASDA STORES             FELTHAM,5.41
18/11/2021,MCDONALD'S GREENWICH -  LONDON,2.98
18/11/2021,MCDONALDS STRAND        LONDON,3.97
18/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.60
17/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
16/11/2021,ASDA STORES             FELTHAM,2.75
16/11/2021,JUUL LABS UK JUUL LABS  UNITED KINGDOM,5.99
14/11/2021,ASDA STORES             FELTHAM,5.70
14/11/2021,DOMINOS FELTHAM         FELTHAM,3.99
14/11/2021,J D WETHERSPOON PLC     WATFORD,5.38
13/11/2021,PAYMENT RECEIVED - THANK YOU,-50.00
13/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
12/11/2021,ASDA STORES             FELTHAM,6.16
11/11/2021,LEBARA MOBILE LIMITED   LONDON,10.00
11/11/2021,PAYMENT RECEIVED - THANK YOU,-50.00
11/11/2021,TESCO STORE 2239 2239TE LONDON,3.70
11/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.60
10/11/2021,ASDA STORES             FELTHAM,4.43
10/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
09/11/2021,ASDA STORES             FELTHAM,2.10
09/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
08/11/2021,AMZNMKTPLACE            AMAZON.CO.UK,30.23
08/11/2021,ASDA STORES             FELTHAM,2.69
07/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
06/11/2021,ADIDAS (UK) LIMITED     STOCKPORT,11.23
06/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.35
05/11/2021,PAYMENT RECEIVED - THANK YOU,-100.00
05/11/2021,PAYMENT RECEIVED - THANK YOU,-41.80
04/11/2021,J D WETHERSPOON PLC     WATFORD,6.95
04/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.15
03/11/2021,ASDA STORES             FELTHAM,8.92
02/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
01/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55
31/10/2021,TESCO STORE 5374 5374TE SUTTON,3.70
31/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
30/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55
29/10/2021,ASDA STORES             FELTHAM,4.08
28/10/2021,ASDA STORES             FELTHAM,6.00
27/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
26/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
25/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
24/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
23/10/2021,ASDA STORES             FELTHAM,1.99
23/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
22/10/2021,ASDA STORES             FELTHAM,3.00
22/10/2021,ASDA STORES             FELTHAM,10.59
21/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.60
18/10/2021,ASDA STORES             FELTHAM,6.63
18/10/2021,LEBARA MOBILE LIMITED   LONDON,10.00
18/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
17/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
16/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.60
15/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.85
14/10/2021,PAYMENT RECEIVED - THANK YOU,-300.00
14/10/2021,PAYMENT RECEIVED - THANK YOU,-60.00
14/10/2021,SHREE FOOD & NEWS       LONDON,5.78
14/10/2021,TESCO STORE 6346 6346TE LONDON,5.50
14/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.65
14/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.60
13/10/2021,ASDA STORES             FELTHAM,3.94
12/10/2021,ASDA STORES             FELTHAM,9.35
11/10/2021,PAYMENT RECEIVED - THANK YOU,-70.00
11/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
10/10/2021,AMZNMKTPLACE            AMAZON.CO.UK,1.46
10/10/2021,PAYMENT RECEIVED - THANK YOU,-70.00
10/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
08/10/2021,3CPAYMENT*STARBUCKS 121 LONDON,3.85
08/10/2021,ASDA STORES             FELTHAM,3.99
08/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.00
07/10/2021,TESCO STORE 6785 6785TE LONDON,5.25
07/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.30
06/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
05/10/2021,PAYMENT RECEIVED - THANK YOU,-50.00
04/10/2021,PAYMENT RECEIVED - THANK YOU,-200.00
04/10/2021,PAYMENT RECEIVED - THANK YOU,-150.00
04/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
03/10/2021,ASDA STORES             FELTHAM,3.85
03/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.10
02/10/2021,APPLE.COM/UK            LONDON,159.00
02/10/2021,APPLE.COM/UK            LONDON,739.80
