Date,Description,Amount,Location,Retail
30/12/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.5,UK,Tfl
30/12/2022,TRAINLINE.COM           LONDON,21.1,London,Trainline
29/12/2022,TRAINLINE.COM           LONDON,48.99,London,Trainline
27/12/2022,3CPAYMENT*PRET A MANGER LONDON,7.95,London,Pret
27/12/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.5,UK,Tfl
27/12/2022,TRAINLINE.COM           LONDON,14.95,London,Trainline
26/12/2022,UBER TRIP               SAN FRANCISCO,6.91,UK,Uber
26/12/2022,READINGBISCUITFACTORY.  LONDON,7.1,London,Other
25/12/2022,GOOGLE*GOOGLE STORAGE   LONDON,1.59,London,Other
24/12/2022,INTEREST CHARGE,2.03,UK,Other
23/12/2022,TESCO STORE 5528 5528TE READING,32.49,Reading,Tesco
21/12/2022,TRAINLINE.COM           LONDON,14.95,London,Trainline
21/12/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.0,UK,Tfl
21/12/2022,MARKS AND SPENCER PADDI LONDON,1.15,London,Marks And Spencer
21/12/2022,MCDONALDS SHAFTESBURY A LONDON,4.28,Shaftesbury,Other
21/12/2022,READING BUSES           READING,4.3,Reading,Reading Buses
19/12/2022,BOOTS THE CHEMIST       READING,12.15,Reading,Boots
19/12/2022,INTEREST CHARGE,5.78,UK,Other
18/12/2022,TRAINLINE.COM           LONDON,36.3,London,Trainline
16/12/2022,GOOGLE*YOUTUBEPREMIUM   LONDON,11.99,London,Other
05/12/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
25/11/2022,GOOGLE*GOOGLE STORAGE   LONDON,1.59,London,Other
24/11/2022,INTEREST CHARGE,7.59,UK,Other
19/11/2022,INTEREST CHARGE,1.79,UK,Other
18/11/2022,TRAINLINE.COM           LONDON,14.4,London,Trainline
18/11/2022,BOOTS UK                HOUNSLOW,2.15,UK,Boots
18/11/2022,READING BUSES           READING,2.2,Reading,Reading Buses
17/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
17/11/2022,TRAINLINE.COM           LONDON,7.5,London,Trainline
16/11/2022,TESCO STORE 5528 5528TE READING,27.8,Reading,Tesco
15/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
15/11/2022,TESCO STORE 5528 5528TE READING,7.0,Reading,Tesco
15/11/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
14/11/2022,SPORTS DIRECT           READING,22.99,Reading,Sports Direct
14/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
13/11/2022,TK MAXX                 READING,24.99,Reading,Tk Maxx
13/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
09/11/2022,BOOST JUICE BARS BOOST  READING,13.0,Reading,Other
09/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
09/11/2022,SAPANA HOME LTD         BERKSHIRE,23.5,UK,Other
09/11/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
09/11/2022,TESCO STORE 5528 5528TE READING,24.23,Reading,Tesco
09/11/2022,THE BODY SHOP INTERNATI LITTLEHAMPTON,13.0,Littlehampton,Other
08/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
08/11/2022,SPORTS DIRECT           READING,57.99,Reading,Sports Direct
08/11/2022,TRAINLINE.COM           LONDON,7.5,London,Trainline
05/11/2022,MCDONALD'S - READING 10 READING,4.96,Reading,Mcdonald'S
05/11/2022,TRAINLINE.COM           LONDON,28.6,London,Trainline
05/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
04/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
03/11/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
02/11/2022,READING BUSES           READING,4.3,Reading,Reading Buses
02/11/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
30/10/2022,SPORTS DIRECT           READING,122.48,Reading,Sports Direct
30/10/2022,READING BUSES           READING,4.3,Reading,Reading Buses
30/10/2022,TK MAXX                 READING,76.98,Reading,Tk Maxx
29/10/2022,READING BUSES           READING,4.3,Reading,Reading Buses
29/10/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.2,UK,Tfl
29/10/2022,TRAINLINE.COM           LONDON,14.95,London,Trainline
27/10/2022,READING BUSES           READING,4.3,Reading,Reading Buses
27/10/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
26/10/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
26/10/2022,READING BUSES           READING,4.3,Reading,Reading Buses
26/10/2022,GOOGLE*GOOGLE STORAGE   LONDON,1.59,London,Other
24/10/2022,INTEREST CHARGE,36.3,UK,Other
22/10/2022,LINKEDIN                DUBLIN,15.0,UK,Other
